STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-18,0.34,80,88,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-19,0.34,72,74,66
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-20,0,70,78,66
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-21,0.02,73,81,69
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-22,0.05,77,84,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-23,0,73,79,67
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-24,0,74,83,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-25,0,72,81,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-26,0,75,86,65
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-27,0,80,90,73
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-28,0,84,94,75
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-29,0,85,95,76
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-30,0,84,90,78
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-08-31,0.11,77,79,69
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-01,0.08,72,79,69
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-02,0,76,87,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-03,0,81,93,74
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-04,0,84,93,74
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-05,0,85,95,75
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-06,0.01,84,95,77
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-07,4.54,79,87,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-08,0.63,69,72,61
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-09,1.84,60,61,56
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-10,0.23,62,71,55
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-11,0,68,77,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-12,0,75,85,71
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-13,0,75,78,70
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-14,0,71,76,68
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-15,0,72,81,66
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-16,0,73,86,65
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-17,0.01,72,80,65
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-18,0.26,76,82,68
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-19,0,75,84,67
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-20,0,71,76,66
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-21,0,70,76,66
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-22,0.01,72,78,63
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-23,0.7,62,63,59
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-24,0.05,63,68,61
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2018-09-25,0.36,69,80,62
