X,Y,OBJECTID,RECORDNUM,SETDATE,SETYEAR,COMMENTS,MCD,ROUTE,ROAD,CNTDIR,FROMLMT,TOLMT,TYPE,LATITUDE,LONGITUDE,FACTOR,AXLE,OUTDIR,INDIR,AADB,UPDATED,CO_NAME,MUN_NAME,GLOBALID,PROGRAM,BIKEPEDGRO,BIKEPEDFAC
-75.170665462610671,39.946253073457974,50849,141992,2018-05-22T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,pine st eastbound lanes,east,18th st,17th st,Bicycle 2,39.94624501,-75.17066369,0,1.02,W,E,1282,2018-07-12T02:36:35.000Z,Philadelphia,Central,c924ea8a-96f1-4fd1-b95c-2ebcf3d7c654,Cyclical,Mixed,Bike Lane
-75.150954116983428,39.96142834729438,50850,142004,2018-05-23T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,spring garden st eastbound lanes,east,8th st,7th st,Bicycle 2,39.96142028,-75.15095235,0,1.02,W,E,781,2018-07-12T02:36:35.000Z,Philadelphia,Central,e2c3b1d4-1ede-40cf-aeb2-b6a3e53e52a5,Cyclical,Mixed,Bike Lane
-75.181814036887445,39.945677093634146,50851,142001,2018-05-22T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,south st eastbound lanes,east,25th st,24th st,Bicycle 2,39.94566903,-75.18181226,0,1.02,W,E,1211,2018-07-12T02:36:35.000Z,Philadelphia,Central,e59d08ce-07fe-4f09-9866-561dad74264f,Cyclical,Mixed,Bike Lane
-75.13983430631427,39.991996133497899,50852,142006,2018-05-16T00:00:00.000Z,2018,Cyclical Program Year 3,4210160107,0,lehigh ave eastbound lanes,east,5th st,orkney st,Bicycle 2,39.99198806,-75.13983254,0,1.02,W,E,98,2018-07-12T02:36:35.000Z,Philadelphia,Lower North,b4254b1c-1709-4ea7-97ba-cfa10bc2b93a,Cyclical,Low Volume,Bike Lane
-75.236421792940135,39.940038060174437,50853,142028,2018-06-06T00:00:00.000Z,2018,Cyclical Program Year 3,4210160110,0,cobbs creek trail,both,hadfield st,whitby ave,Bicycle 2,39.94003,-75.23642,0,0,E,W,41,2018-07-13T02:36:16.000Z,Philadelphia,University - Southwest,effb24af-298f-4193-83ef-e197a79611a0,Cyclical,Low Volume,Multiuse Trail
-75.14290876509061,39.963090067757534,50854,141996,2018-05-25T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,n 3rd st northbound lanes,north,fairmount ave,brown st,Bicycle 2,39.963082,-75.142907,0,0,S,N,365,2018-07-13T02:36:16.000Z,Philadelphia,Central,5f72f9e2-a54d-46f7-8605-6302b33be925,Cyclical,Recreation,Mixed Traffic
-75.227971790399977,39.935202059380188,50855,142328,2018-06-01T00:00:00.000Z,2018,TIGER Grant Evalutation Update - 58th Street Greenway,4210160110,0,58th st southbound lane,south,chester ave,kingsessing ave,Bicycle 2,39.935194,-75.22797,0,0,N,S,27,2018-07-13T02:36:16.000Z,Philadelphia,University - Southwest,9e85c3ae-9f87-4a18-aacc-fc1d0be181c9,Project,Low Volume,Mixed Traffic
-75.210439466147307,39.953174283534125,50856,142027,2018-06-06T00:00:00.000Z,2018,Cyclical Program Year 3,4210160110,0,44th st southbound lanes,south,spruce st,locust st,Bicycle 2,39.95316622,-75.21043768,0,0,N,S,168,2018-07-13T02:36:16.000Z,Philadelphia,University - Southwest,05d6f8ef-541b-4fa5-8e84-359c358f07d0,Cyclical,Low Volume,Bike Lane
-75.227864789740167,39.935243059304334,50857,142327,2018-06-01T00:00:00.000Z,2018,TIGER Grant Evalutation Update - 58th Street Greenway,4210160110,0,58th st northbound lane,north,chester ave,kingsessing ave,Bicycle 2,39.935235,-75.227863,0,0,S,N,22,2018-07-13T02:36:16.000Z,Philadelphia,University - Southwest,f6bc37ec-222b-482a-93b1-af257d5b0407,Project,Low Volume,Mixed Traffic
-75.166741770170844,39.92796706058013,50858,141997,2018-06-05T00:00:00.000Z,2018,Cyclical Program Year 3,4210160112,0,s 13th st northbound lanes,north,moore st,morris st,Bicycle 2,39.927959,-75.16674,0,0,S,N,305,2018-07-13T02:36:16.000Z,Philadelphia,South,b3accf7a-7fa0-4dde-a4d1-482a2ba58e88,Cyclical,Low Volume,Mixed Traffic
-75.154212636603134,39.935232571995485,50859,142014,2018-06-07T00:00:00.000Z,2018,Cyclical Program Year 3,4210160112,0,washington ave eastbound lanes,east,7th st,6th st,Bicycle 2,39.93522451,-75.15421087,0,0,W,E,213,2018-07-13T02:36:16.000Z,Philadelphia,South,dadb9dbe-58a0-4ac2-8613-f794138a82f5,Cyclical,Low Volume,Bike Lane
-75.154212636603134,39.935232571995485,50860,142015,2018-06-07T00:00:00.000Z,2018,Cyclical Program Year 3,4210160112,0,washington ave westbound lanes,west,7th st,6th st,Bicycle 2,39.93522451,-75.15421087,0,0,E,W,194,2018-07-13T02:36:16.000Z,Philadelphia,South,651e7e01-11dd-4ebe-b66e-24973967e21f,Cyclical,Low Volume,Bike Lane
-75.23446279485124,39.968213065758547,50861,142326,2018-05-30T00:00:00.000Z,2018,TIGER Grant Evalutation Update - 58th Street Greenway,4210160111,0,haverford ave westbound lanes,west,58th st,57th st,Bicycle 2,39.968205,-75.234461,0,0,E,W,49,2018-07-13T02:36:16.000Z,Philadelphia,West,56e2ae66-df7b-4824-b8bb-9a9dbbb97fe1,Project,Low Volume,Bike Lane
-75.170690771905257,39.927781060402111,50862,142013,2018-06-07T00:00:00.000Z,2018,Cyclical Program Year 3,4210160112,0,15th st,south,mifflin st,moore st,Bicycle 2,39.927773,-75.170689,0,0,N,S,195,2018-07-13T02:36:16.000Z,Philadelphia,South,65334784-a019-4253-81fb-917dac88df99,Cyclical,Low Volume,Mixed Traffic
-75.157839538484794,39.944646523688512,50863,141991,2018-05-25T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,pine st eastbound lanes,east,6th st,5th st,Bicycle 2,39.94463846,-75.15783777,0,0,W,E,815,2018-07-13T02:36:16.000Z,Philadelphia,Central,a352e1d7-8257-4bb3-ac51-d00883dfb4bb,Cyclical,Mixed,Bike Lane
-75.171169622598555,39.947782843967339,50864,141993,2018-05-25T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,spruce st westbound lanes,west,7th st,6th st,Bicycle 2,39.94777478,-75.17116785,0,0,E,W,980,2018-07-13T02:36:16.000Z,Philadelphia,Central,85f05e5c-40bb-4b18-a908-a9af3ab65dae,Cyclical,Mixed,Bike Lane
